x1,x2,Pain and Side-effect ,Pain and No side-effect,No Pain and Side-effect,No Pain and No side-effect,m
0,0,0,0,0,6,6
0,0.5,0,3,0,3,6
0,1,0,0,0,6,6
0,2.5,0,1,0,5,6
0,5,1,4,0,1,6
0,10,5,0,1,0,6
0,15,2,4,0,0,6
2,0,0,2,0,4,6
2,0.5,0,5,0,1,6
2,1,0,2,0,4,6
2,2.5,0,2,0,4,6
2,5,1,4,0,1,6
2,10,1,5,0,0,6
2,15,3,3,0,0,6
4,0,0,3,0,3,6
4,0.5,0,5,0,1,6
4,1,0,6,0,0,6
4,2.5,1,5,0,0,6
4,5,2,3,1,0,6
4,10,3,3,0,0,6
4,15,3,3,0,0,6
6,0,0,5,0,1,6
6,0.5,0,6,0,0,6
6,1,0,6,0,0,6
6,2.5,0,6,0,0,6
6,5,0,6,0,0,6
6,10,5,1,0,0,6
6,15,6,0,0,0,6
8,0,0,6,0,0,6
8,0.5,0,6,0,0,6
8,1,0,6,0,0,6
8,2.5,0,6,0,0,6
8,5,0,6,0,0,6
8,10,1,5,0,0,6
8,15,2,4,0,0,6
